Tid	Nr	Lufttemperatur
2017.01.21.18	101	4.000	
2017.01.21.21	102	3.200	
2017.01.22.00	103	3.300	
2017.01.22.03	104	3.000	
2017.01.22.06	105	2.700	
2017.01.22.09	106	2.500	
2017.01.22.12	107	3.400	
2017.01.22.15	108	3.300	
2017.01.22.18	109	2.600	
2017.01.22.21	110	2.600	
2017.01.23.00	111	2.600	
2017.01.23.03	112	2.800	
2017.01.23.06	113	3.000	
2017.01.23.09	114	3.500	
2017.01.23.12	115	4.000	
2017.01.23.15	116	4.100	
2017.01.23.18	117	3.800	
2017.01.23.21	118	3.000	
2017.01.24.00	119	2.500	
2017.01.24.03	120	3.500	
2017.01.24.06	121	3.700	
2017.01.24.09	122	3.700	
2017.01.24.12	123	4.200	
2017.01.24.15	124	4.600	
2017.01.24.18	125	4.000	
2017.01.24.21	126	4.900	
2017.01.25.00	127	5.500	
2017.01.25.03	128	5.500	
2017.01.25.06	129	5.500	
2017.01.25.09	130	6.100	
2017.01.25.12	131	5.900	
2017.01.25.15	132	6.500	
2017.01.25.18	133	6.800	
2017.01.25.21	134	NaN	
2017.01.26.00	135	5.800	
2017.01.26.03	136	5.200	
2017.01.26.06	137	5.000	
2017.01.26.09	138	4.400	
2017.01.26.12	139	5.000	
2017.01.26.15	140	4.100	
2017.01.26.18	141	2.300	
2017.01.26.21	142	1.800	
2017.01.27.00	143	0.800	
2017.01.27.03	144	2.000	
2017.01.27.06	145	1.900	
2017.01.27.09	146	1.400	
2017.01.27.12	147	3.300	
2017.01.27.15	148	1.500	
2017.01.27.18	149	2.900	
2017.01.27.21	150	4.400	
2017.01.28.00	151	4.000	
2017.01.28.03	152	4.600	
2017.01.28.06	153	2.900	
2017.01.28.09	154	4.000	
2017.01.28.12	155	3.100	
2017.01.28.15	156	5.400	
2017.01.28.18	157	6.200	
2017.01.28.21	158	6.200	
2017.01.29.00	159	8.000	
2017.01.29.03	160	5.700	
2017.01.29.06	161	5.500	
2017.01.29.09	162	5.200	
2017.01.29.12	163	5.500	
2017.01.29.19	164	3.300	
2017.01.29.22	165	3.700	
2017.01.30.01	166	2.100	
2017.01.30.04	167	0.800	
2017.01.30.10	168	-1.600	
2017.01.30.13	169	5.000	
2017.01.30.16	170	0.600	
2017.01.30.19	171	-0.900	
2017.01.30.22	172	-0.800	
2017.01.31.01	173	2.400	
2017.01.31.04	174	3.400	
2017.01.31.07	175	2.800	
2017.01.31.10	176	1.800	
2017.01.31.13	177	5.100	
2017.01.31.16	178	1.400	
2017.01.31.19	179	-0.900	
2017.01.31.22	180	0.400	
2017.02.01.01	181	-0.100	
2017.02.01.04	182	-0.500	
2017.02.01.07	183	1.300	
2017.02.01.13	184	0.400	
2017.02.01.16	185	0.600	
2017.02.01.19	186	0.900	
2017.02.01.22	187	2.500	
2017.02.02.01	188	3.500	
2017.02.02.04	189	3.600	
2017.02.02.07	190	4.800	
2017.02.02.10	191	3.000	
2017.02.02.13	192	4.400	
2017.02.02.16	193	6.700	
2017.02.02.19	194	8.700	
2017.02.02.22	195	8.300	
2017.02.03.01	196	9.200	
2017.02.03.04	197	10.000	
2017.02.03.07	198	10.300	
2017.02.03.10	199	10.200	
2017.02.03.13	200	9.300	
2017.02.03.16	201	7.500	
2017.02.03.19	202	6.600	
2017.02.03.22	203	5.900	
2017.02.04.01	204	5.400	
2017.02.04.04	205	4.500	
2017.02.04.07	206	2.700	
2017.02.04.13	207	9.300	
2017.02.04.16	208	6.400	
2017.02.04.19	209	4.000	
2017.02.04.22	210	5.000	
2017.02.05.01	211	4.000	
2017.02.05.04	212	3.400	
2017.02.05.07	213	3.000	
2017.02.05.10	214	2.500	
2017.02.05.13	215	3.100	
2017.02.05.16	216	2.400	
2017.02.05.19	217	2.000	
2017.02.05.22	218	1.200	
2017.02.06.01	219	3.600	
2017.02.06.04	220	2.500	
2017.02.06.07	221	1.900	
2017.02.06.10	222	2.500	
2017.02.06.13	223	3.400	
2017.02.06.16	224	3.900	
2017.02.06.19	225	0.800	
2017.02.06.22	226	-1.100	
2017.02.07.01	227	-0.600	
2017.02.07.04	228	-2.900	
2017.02.07.07	229	-3.800	
2017.02.07.10	230	0.700	
2017.02.07.13	231	2.100	
2017.02.07.16	232	-0.600	
2017.02.07.19	233	-1.600	
2017.02.07.22	234	-2.500	
2017.02.08.01	235	-3.400	
2017.02.08.04	236	-5.400	
2017.02.08.07	237	-6.300	
2017.02.08.10	238	-1.400	
2017.02.08.13	239	2.800	
2017.02.08.16	240	-1.400	
2017.02.08.19	241	-3.200	
2017.02.08.22	242	-4.700	
2017.02.09.01	243	-5.800	
2017.02.09.04	244	-6.500	
2017.02.09.07	245	-6.900	
2017.02.09.10	246	-6.400	
2017.02.09.13	247	-2.900	
2017.02.09.16	248	-0.900	
2017.02.09.19	249	-1.600	
2017.02.09.22	250	-2.500	
2017.02.10.01	251	-2.400	
2017.02.10.04	252	-2.000	
2017.02.10.07	253	-3.100	
2017.02.10.10	254	-1.500	
2017.02.10.13	255	0.400	
2017.02.10.16	256	0.300	
2017.02.10.19	257	-0.200	
2017.02.10.22	258	-1.900	
2017.02.11.01	259	-1.500	
2017.02.11.04	260	-1.900	
2017.02.11.07	261	-1.800	
2017.02.11.10	262	-1.100	
2017.02.11.13	263	4.700	
2017.02.11.16	264	0.700	
2017.02.11.19	265	-1.100	
2017.02.11.22	266	-3.000	
2017.02.12.01	267	-3.600	
2017.02.12.04	268	-3.500	
2017.02.12.07	269	-4.800	
2017.02.12.10	270	1.700	
2017.02.12.13	271	3.900	
2017.02.12.16	272	1.600	
2017.02.12.19	273	-0.100	
2017.02.12.22	274	-2.400	
2017.02.13.01	275	-2.900	
2017.02.13.04	276	-3.100	
2017.02.13.07	277	-3.400	
2017.02.13.10	278	-0.500	
2017.02.13.13	279	2.800	
2017.02.13.16	280	0.300	
2017.02.13.19	281	-0.400	
2017.02.13.22	282	-2.800	
2017.02.14.01	283	-3.500	
2017.02.14.04	284	-4.100	
2017.02.14.07	285	-4.200	
2017.02.14.10	286	0.300	
2017.02.14.13	287	3.300	
2017.02.14.16	288	1.600	
2017.02.14.19	289	-1.200	
2017.02.14.22	290	-3.100	
2017.02.15.01	291	-4.000	
2017.02.15.04	292	-4.100	
2017.02.15.07	293	-1.600	
2017.02.15.10	294	2.200	
2017.02.15.13	295	2.400	
2017.02.15.16	296	3.600	
2017.02.15.19	297	4.800	
2017.02.15.22	298	5.300	
2017.02.16.01	299	4.500	
2017.02.16.04	300	5.000	
2017.02.16.07	301	5.200	
2017.02.16.13	302	4.300	
2017.02.16.16	303	4.600	
2017.02.16.19	304	4.100	
2017.02.16.22	305	4.000	
2017.02.17.01	306	3.800	
2017.02.17.04	307	3.700	
2017.02.17.07	308	3.200	
2017.02.17.10	309	4.000	
2017.02.17.13	310	5.200	
2017.02.17.16	311	5.000	
2017.02.17.19	312	3.000	
2017.02.17.22	313	0.800	
2017.02.18.01	314	1.400	
2017.02.18.04	315	2.800	
2017.02.18.07	316	3.300	
2017.02.18.13	317	3.600	
2017.02.18.16	318	3.900	
2017.02.18.19	319	5.200	
2017.02.18.22	320	6.700	
2017.02.19.01	321	5.700	
2017.02.19.04	322	5.600	
2017.02.19.07	323	5.400	
2017.02.19.10	324	5.500	
2017.02.19.13	325	6.000	
2017.02.19.16	326	5.500	
2017.02.19.19	327	5.100	
2017.02.19.22	328	4.800	
2017.02.20.01	329	5.000	
2017.02.20.04	330	6.000	
2017.02.20.07	331	5.700	
2017.02.20.10	332	6.100	
2017.02.20.13	333	5.700	
2017.02.20.16	334	5.300	
2017.02.20.19	335	4.000	
2017.02.20.22	336	5.100	
2017.02.21.01	337	3.600	
2017.02.21.04	338	3.800	
2017.02.21.07	339	2.500	
2017.02.21.10	340	3.000	
2017.02.21.13	341	4.300	
2017.02.21.16	342	4.100	
2017.02.21.19	343	3.200	
2017.02.21.22	344	1.500	
2017.02.22.01	345	1.600	
2017.02.22.04	346	2.200	
2017.02.22.07	347	3.500	
2017.02.22.10	348	3.400	
2017.02.22.13	349	4.600	
2017.02.22.16	350	3.700	
2017.02.22.19	351	4.000	
2017.02.22.22	352	3.100	
2017.02.23.01	353	1.600	
2017.02.23.04	354	0.400	
2017.02.23.07	355	-0.600	
2017.02.23.10	356	0.700	
2017.02.23.13	357	1.000	
2017.02.23.16	358	1.800	
2017.02.23.19	359	0.000	
2017.02.23.22	360	-0.600	
2017.02.24.01	361	-2.600	
2017.02.24.04	362	-3.100	
2017.02.24.07	363	-3.000	
2017.02.24.10	364	0.200	
2017.02.24.13	365	0.700	
2017.02.24.16	366	1.100	
2017.02.24.19	367	-1.600	
2017.02.24.22	368	-2.400	
2017.02.25.01	369	-1.500	
2017.02.25.04	370	-0.200	
2017.02.25.07	371	0.600	
2017.02.25.10	372	0.400	
2017.02.25.13	373	1.700	
2017.02.25.16	374	1.800	
2017.02.25.19	375	3.400	
2017.02.25.22	376	2.500	
2017.02.26.01	377	2.600	
2017.02.26.04	378	2.000	
2017.02.26.07	379	2.000	
2017.02.26.10	380	2.400	
2017.02.26.13	381	5.600	
2017.02.26.16	382	5.600	
2017.02.26.19	383	4.800	
2017.02.26.22	384	3.800	
2017.02.27.01	385	4.600	
2017.02.27.04	386	5.400	
2017.02.27.07	387	5.100	
2017.02.27.10	388	5.500	
2017.02.27.13	389	5.500	
2017.02.27.16	390	6.300	
2017.02.27.19	391	3.600	
2017.02.27.22	392	1.000	
2017.02.28.01	393	6.300	
2017.02.28.04	394	4.800	
2017.02.28.07	395	3.400	
2017.02.28.10	396	5.600	
2017.02.28.13	397	6.200	
2017.02.28.16	398	4.600	
2017.02.28.19	399	3.000	
2017.02.28.22	400	0.500	
2017.03.01.01	401	-1.400	
2017.03.01.04	402	-2.400	
2017.03.01.07	403	-1.500	
2017.03.01.10	404	0.400	
2017.03.01.13	405	4.400	
2017.03.01.16	406	2.400	
2017.03.01.19	407	1.800	
2017.03.01.22	408	0.800	
2017.03.02.01	409	1.200	
2017.03.02.04	410	2.300	
2017.03.02.07	411	2.900	
2017.03.02.10	412	1.200	
2017.03.02.13	413	3.600	
2017.03.02.16	414	2.100	
2017.03.02.19	415	1.800	
2017.03.02.22	416	2.300	
2017.03.03.01	417	2.300	
2017.03.03.04	418	1.100	
2017.03.03.07	419	1.300	
2017.03.03.10	420	2.500	
2017.03.03.13	421	3.700	
2017.03.03.16	422	4.300	
2017.03.03.19	423	3.200	
2017.03.03.22	424	0.000	
2017.03.04.01	425	0.400	
2017.03.04.04	426	-0.500	
2017.03.04.07	427	0.100	
2017.03.04.10	428	3.200	
2017.03.04.13	429	4.400	
2017.03.04.16	430	5.300	
2017.03.04.19	431	4.400	
2017.03.04.22	432	5.400	
2017.03.05.01	433	5.900	
2017.03.05.04	434	5.700	
2017.03.05.07	435	5.500	
2017.03.05.10	436	5.900	
2017.03.05.13	437	5.700	
2017.03.05.16	438	5.300	
2017.03.05.19	439	4.400	
2017.03.05.22	440	3.200	
2017.03.06.01	441	2.200	
2017.03.06.04	442	1.700	
2017.03.06.07	443	2.500	
2017.03.06.10	444	2.000	
2017.03.06.13	445	2.600	
2017.03.06.16	446	3.700	
2017.03.06.19	447	1.700	
2017.03.06.22	448	0.600	
2017.03.07.01	449	-0.400	
2017.03.07.04	450	-2.400	
2017.03.07.07	451	-3.100	
2017.03.07.10	452	-0.400	
2017.03.07.13	453	0.300	
2017.03.07.16	454	0.900	
2017.03.07.19	455	-1.800	
2017.03.07.22	456	-2.800	
2017.03.08.01	457	-1.900	
2017.03.08.04	458	-2.100	
2017.03.08.07	459	-1.600	
2017.03.08.10	460	0.300	
2017.03.08.13	461	1.200	
2017.03.08.16	462	0.800	
2017.03.08.19	463	1.200	
2017.03.08.22	464	2.400	
2017.03.09.01	465	3.200	
2017.03.09.04	466	2.200	
2017.03.09.07	467	4.400	
2017.03.09.10	468	5.200	
2017.03.09.13	469	5.700	
2017.03.09.16	470	3.800	
2017.03.09.19	471	3.800	
2017.03.09.22	472	1.000	
2017.03.10.01	473	2.000	
2017.03.10.04	474	2.100	
2017.03.10.07	475	2.300	
2017.03.10.10	476	3.300	
2017.03.10.13	477	4.500	
2017.03.10.16	478	5.900	
2017.03.10.19	479	4.000	
2017.03.10.22	480	4.000	
2017.03.11.01	481	4.000	
2017.03.11.04	482	0.700	
2017.03.11.07	483	-0.500	
2017.03.11.10	484	5.600	
2017.03.11.13	485	6.600	
2017.03.11.16	486	3.500	
2017.03.11.19	487	4.200	
2017.03.11.22	488	4.400	
2017.03.12.01	489	4.400	
2017.03.12.04	490	4.000	
2017.03.12.07	491	4.000	
2017.03.12.10	492	5.100	
2017.03.12.13	493	6.700	
2017.03.12.16	494	7.000	
2017.03.12.19	495	7.100	
2017.03.12.22	496	6.800	
2017.03.13.01	497	4.700	
2017.03.13.04	498	2.700	
2017.03.13.07	499	3.000	
2017.03.13.10	500	4.600	
2017.03.13.13	501	4.400	
2017.03.13.16	502	5.600	
2017.03.13.19	503	5.400	
2017.03.13.22	504	5.300	
2017.03.14.01	505	4.800	
2017.03.14.04	506	4.300	
2017.03.14.07	507	4.800	
2017.03.14.10	508	6.300	
2017.03.14.13	509	7.300	
2017.03.14.16	510	6.500	
2017.03.14.19	511	5.100	
2017.03.14.22	512	5.500	
2017.03.15.01	513	5.500	
2017.03.15.04	514	5.200	
2017.03.15.07	515	3.100	
2017.03.15.10	516	4.500	
2017.03.15.13	517	3.800	
2017.03.15.16	518	3.800	
2017.03.15.19	519	4.200	
2017.03.15.22	520	2.400	
2017.03.16.01	521	3.300	
2017.03.16.04	522	2.500	
2017.03.16.07	523	3.500	
2017.03.16.10	524	5.200	
2017.03.16.13	525	6.100	
2017.03.16.16	526	5.900	
2017.03.16.19	527	5.300	
2017.03.16.22	528	4.200	
2017.03.17.01	529	2.000	
2017.03.17.04	530	2.800	
2017.03.17.07	531	1.800	
2017.03.17.10	532	3.800	
2017.03.17.13	533	0.100	
2017.03.17.16	534	2.200	
2017.03.17.19	535	0.600	
2017.03.17.22	536	0.400	
2017.03.18.01	537	0.300	
2017.03.18.04	538	-2.400	
2017.03.18.07	539	-1.800	
2017.03.18.10	540	0.300	
2017.03.18.13	541	3.400	
2017.03.18.16	542	4.100	
2017.03.18.19	543	1.100	
2017.03.18.22	544	0.300	
2017.03.19.01	545	0.300	
2017.03.19.04	546	1.100	
2017.03.19.07	547	1.800	
2017.03.19.10	548	3.400	
2017.03.19.13	549	1.000	
2017.03.19.16	550	1.700	
2017.03.19.19	551	1.000	
2017.03.19.22	552	0.100	
2017.03.20.01	553	2.100	
2017.03.20.04	554	3.600	
2017.03.20.07	555	3.600	
2017.03.20.10	556	5.300	
2017.03.20.13	557	5.600	
2017.03.20.16	558	4.000	
2017.03.20.19	559	3.800	
2017.03.20.22	560	3.600	
2017.03.21.01	561	3.300	
2017.03.21.04	562	3.900	
2017.03.21.10	563	4.700	
2017.03.21.13	564	3.800	
2017.03.21.16	565	3.800	
2017.03.21.19	566	2.400	
2017.03.21.22	567	1.700	
2017.03.22.01	568	1.200	
2017.03.22.04	569	-0.200	
2017.03.22.07	570	-0.400	
2017.03.22.10	571	0.800	
2017.03.22.13	572	-0.500	
2017.03.22.16	573	2.000	
2017.03.22.19	574	1.000	
2017.03.22.22	575	0.300	
2017.03.23.01	576	-2.000	
2017.03.23.04	577	-1.800	
2017.03.23.07	578	0.000	
2017.03.23.10	579	0.800	
2017.03.23.13	580	NaN	
2017.03.23.16	581	2.000	
2017.03.23.19	582	1.100	
2017.03.23.22	583	1.700	
2017.03.24.01	584	2.500	
2017.03.24.04	585	2.600	
2017.03.24.07	586	2.600	
2017.03.24.10	587	3.300	
2017.03.24.13	588	3.000	
2017.03.24.16	589	2.900	
2017.03.24.19	590	5.500	
2017.03.24.22	591	4.500	
2017.03.25.01	592	5.200	
2017.03.25.04	593	4.600	
2017.03.25.07	594	4.300	
2017.03.25.10	595	4.600	
2017.03.25.13	596	5.100	
2017.03.25.16	597	5.700	
2017.03.25.19	598	5.900	
2017.03.25.22	599	5.300	
2017.03.26.01	600	5.300	
2017.03.26.04	601	5.200	
2017.03.26.07	602	5.200	
2017.03.26.10	603	5.700	
2017.03.26.13	604	8.000	
2017.03.26.16	605	7.200	
2017.03.26.19	606	6.200	
2017.03.26.22	607	6.000	
2017.03.27.01	608	5.700	
2017.03.27.04	609	5.200	
2017.03.27.07	610	5.000	
2017.03.27.10	611	5.200	
2017.03.27.13	612	6.100	
2017.03.27.16	613	5.900	
2017.03.27.19	614	6.200	
2017.03.27.22	615	5.500	
2017.03.28.01	616	4.500	
2017.03.28.04	617	2.500	
2017.03.28.07	618	3.000	
2017.03.28.10	619	3.600	
2017.03.28.13	620	8.300	
2017.03.28.16	621	11.600	
2017.03.28.19	622	8.200	
2017.03.28.22	623	5.700	
2017.03.29.01	624	4.500	
2017.03.29.04	625	4.000	
2017.03.29.07	626	3.400	
2017.03.29.13	627	4.300	
2017.03.29.16	628	4.900	
2017.03.29.19	629	5.500	
2017.03.29.22	630	3.200	
2017.03.30.01	631	4.300	
2017.03.30.04	632	4.400	
2017.03.30.07	633	3.900	
2017.03.30.10	634	4.700	
2017.03.30.13	635	5.900	
2017.03.30.16	636	6.500	
2017.03.30.19	637	6.300	
2017.03.30.22	638	6.300	
2017.03.31.01	639	6.400	
2017.03.31.04	640	6.100	
2017.03.31.07	641	6.700	
2017.03.31.10	642	9.000	
2017.03.31.13	643	8.700	
2017.03.31.16	644	8.500	
2017.03.31.19	645	9.500	
2017.03.31.22	646	8.900	
2017.04.01.01	647	8.500	
2017.04.01.04	648	8.000	
2017.04.01.07	649	7.600	
2017.04.01.10	650	7.400	
2017.04.01.13	651	6.500	
2017.04.01.16	652	6.900	
2017.04.01.19	653	6.400	
2017.04.01.22	654	5.900	
2017.04.02.01	655	6.000	
2017.04.02.04	656	5.800	
2017.04.02.07	657	5.600	
2017.04.02.10	658	6.100	
2017.04.02.13	659	6.500	
2017.04.02.16	660	7.100	
2017.04.02.19	661	6.200	
2017.04.02.22	662	5.600	
2017.04.03.01	663	5.100	
2017.04.03.04	664	4.200	
2017.04.03.07	665	3.800	
2017.04.03.10	666	7.100	
2017.04.03.13	667	9.100	
2017.04.03.16	668	10.700	
2017.04.03.19	669	9.900	
2017.04.03.22	670	7.800	
2017.04.04.01	671	7.100	
2017.04.04.04	672	6.900	
2017.04.04.07	673	4.800	
2017.04.04.10	674	5.100	
2017.04.04.13	675	7.100	
2017.04.04.16	676	7.600	
2017.04.04.19	677	6.600	
2017.04.04.22	678	3.400	
2017.04.05.01	679	4.100	
2017.04.05.04	680	4.600	
2017.04.05.07	681	4.000	
2017.04.05.10	682	4.000	
2017.04.05.13	683	7.200	
2017.04.05.16	684	6.300	
2017.04.05.19	685	6.300	
2017.04.05.22	686	5.500	
2017.04.06.01	687	4.400	
2017.04.06.04	688	4.000	
2017.04.06.07	689	3.000	
2017.04.06.10	690	3.600	
2017.04.06.13	691	6.700	
2017.04.06.16	692	6.900	
2017.04.06.19	693	6.700	
2017.04.06.22	694	6.600	
2017.04.07.01	695	6.400	
2017.04.07.04	696	6.300	
2017.04.07.07	697	5.500	
2017.04.07.10	698	5.500	
2017.04.07.13	699	7.300	
2017.04.07.16	700	8.400	
2017.04.07.19	701	6.900	
2017.04.07.22	702	6.500	
2017.04.08.01	703	6.000	
2017.04.08.04	704	5.800	
2017.04.08.07	705	5.600	
2017.04.08.10	706	NaN	
2017.04.08.13	707	7.200	
2017.04.08.16	708	7.300	
2017.04.08.19	709	6.700	
2017.04.08.22	710	5.900	
2017.04.09.01	711	6.000	
2017.04.09.04	712	5.900	
2017.04.09.07	713	5.400	
2017.04.09.13	714	7.400	
2017.04.09.16	715	6.700	
2017.04.09.19	716	7.600	
2017.04.09.22	717	6.700	
2017.04.10.01	718	5.100	
2017.04.10.04	719	3.800	
2017.04.10.07	720	3.500	
2017.04.10.10	721	4.900	
2017.04.10.13	722	6.500	
2017.04.10.16	723	4.700	
2017.04.10.19	724	2.500	
2017.04.10.22	725	2.500	
2017.04.11.01	726	2.000	
2017.04.11.04	727	1.600	
2017.04.11.07	728	1.000	
2017.04.11.10	729	4.700	
2017.04.11.13	730	3.200	
2017.04.11.16	731	3.700	
2017.04.11.19	732	2.200	
2017.04.11.22	733	2.900	
2017.04.12.01	734	5.800	
2017.04.12.04	735	5.300	
2017.04.12.07	736	3.700	
2017.04.12.10	737	4.400	
2017.04.12.13	738	6.100	
2017.04.12.16	739	5.300	
2017.04.12.19	740	4.900	
2017.04.12.22	741	4.200	
2017.04.13.01	742	2.700	
2017.04.13.04	743	3.800	
2017.04.13.07	744	2.400	
2017.04.13.10	745	5.700	
2017.04.13.13	746	4.900	
2017.04.13.16	747	5.800	
2017.04.13.19	748	5.500	
2017.04.13.22	749	2.600	
2017.04.14.01	750	0.100	
2017.04.14.04	751	-0.100	
2017.04.14.07	752	-2.300	
2017.04.14.10	753	6.600	
2017.04.14.13	754	9.300	
2017.04.14.16	755	8.500	
2017.04.14.19	756	7.200	
2017.04.14.22	757	4.200	
2017.04.15.01	758	3.500	
2017.04.15.04	759	4.400	
2017.04.15.07	760	3.400	
2017.04.15.10	761	4.400	
2017.04.15.13	762	5.200	
2017.04.15.16	763	4.400	
2017.04.15.19	764	4.000	
2017.04.15.22	765	2.700	
2017.04.16.01	766	1.900	
2017.04.16.04	767	1.200	
2017.04.16.07	768	0.800	
2017.04.16.10	769	1.700	
2017.04.16.13	770	6.500	
2017.04.16.16	771	6.100	
2017.04.16.19	772	6.000	
2017.04.16.22	773	3.300	
2017.04.17.01	774	1.700	
2017.04.17.04	775	1.000	
2017.04.17.07	776	-0.500	
2017.04.17.10	777	6.400	
2017.04.17.13	778	7.300	
2017.04.17.16	779	5.200	
2017.04.17.19	780	5.800	
2017.04.17.22	781	2.300	
2017.04.18.01	782	0.900	
2017.04.18.04	783	0.800	
2017.04.18.07	784	2.400	
2017.04.18.10	785	4.000	
2017.04.18.13	786	3.700	
2017.04.18.16	787	2.300	
2017.04.18.19	788	5.600	
2017.04.18.22	789	2.800	
2017.04.19.01	790	1.100	
2017.04.19.07	791	2.800	
2017.04.19.10	792	5.000	
2017.04.19.13	793	5.700	
2017.04.19.16	794	6.000	
2017.04.19.19	795	4.000	
2017.04.19.22	796	4.200	
2017.04.20.01	797	5.000	
2017.04.20.04	798	5.400	
2017.04.20.07	799	5.000	
2017.04.20.10	800	6.100	
2017.04.20.13	801	7.400	
2017.04.20.16	802	7.100	
2017.04.20.19	803	6.400	
2017.04.20.22	804	6.100	
2017.04.21.01	805	5.900	
2017.04.21.04	806	5.500	
2017.04.21.07	807	4.200	
2017.04.21.13	808	3.600	
2017.04.21.16	809	3.700	
2017.04.21.19	810	2.200	
2017.04.21.22	811	1.600	
2017.04.22.01	812	4.200	
2017.04.22.04	813	3.700	
2017.04.22.07	814	3.000	
2017.04.22.10	815	7.000	
2017.04.22.13	816	6.000	
2017.04.22.16	817	4.500	
2017.04.22.19	818	2.100	
2017.04.22.22	819	2.600	
2017.04.23.01	820	0.800	
2017.04.23.04	821	0.200	
2017.04.23.07	822	0.600	
2017.04.23.10	823	4.000	
2017.04.23.13	824	4.000	
2017.04.23.16	825	1.200	
2017.04.23.19	826	1.100	
2017.04.23.22	827	0.800	
2017.04.24.01	828	-0.700	
2017.04.24.04	829	0.700	
2017.04.24.07	830	0.900	
2017.04.24.10	831	3.600	
2017.04.24.13	832	1.700	
2017.04.24.16	833	3.100	
2017.04.24.19	834	3.500	
2017.04.24.22	835	2.400	
2017.04.25.01	836	0.600	
2017.04.25.04	837	0.200	
2017.04.25.07	838	0.800	
2017.04.25.10	839	3.400	
2017.04.25.13	840	6.900	
2017.04.25.16	841	7.500	
2017.04.25.19	842	7.000	
2017.04.25.22	843	4.500	
2017.04.26.01	844	3.300	
2017.04.26.04	845	2.400	
2017.04.26.07	846	2.500	
2017.04.26.10	847	4.800	
2017.04.26.13	848	5.300	
2017.04.26.16	849	6.100	
2017.04.26.19	850	4.900	
2017.04.26.22	851	3.300	
2017.04.27.01	852	0.000	
2017.04.27.04	853	0.700	
2017.04.27.07	854	2.100	
2017.04.27.10	855	3.100	
2017.04.27.13	856	5.800	
2017.04.27.16	857	7.300	
2017.04.27.23	858	3.800	
2017.04.28.02	859	4.700	
2017.04.28.05	860	4.400	
2017.04.28.08	861	7.200	
2017.04.28.11	862	6.700	
2017.04.28.14	863	7.600	
2017.04.28.17	864	8.000	
