Tid	Nr	Lufttemperatur
2018.01.18.15	104	1.200	
2018.01.18.18	105	0.500	
2018.01.18.21	106	1.000	
2018.01.19.00	107	0.700	
2018.01.19.03	108	-0.200	
2018.01.19.06	109	-0.500	
2018.01.19.09	110	0.600	
2018.01.19.12	111	0.100	
2018.01.19.15	112	0.000	
2018.01.19.18	113	0.600	
2018.01.19.21	114	1.200	
2018.01.20.00	115	0.800	
2018.01.20.03	116	2.000	
2018.01.20.06	117	2.300	
2018.01.20.09	118	1.400	
2018.01.20.12	119	3.200	
2018.01.20.15	120	2.900	
2018.01.20.18	121	2.100	
2018.01.20.21	122	-0.200	
2018.01.21.00	123	-0.400	
2018.01.21.03	124	-1.100	
2018.01.21.06	125	-1.000	
2018.01.21.09	126	0.400	
2018.01.21.12	127	NaN	
2018.01.21.15	128	0.900	
2018.01.21.18	129	0.800	
2018.01.21.21	130	2.000	
2018.01.22.00	131	2.200	
2018.01.22.03	132	2.100	
2018.01.22.06	133	2.500	
2018.01.22.09	134	2.900	
2018.01.22.12	135	3.200	
2018.01.22.15	136	3.400	
2018.01.22.18	137	1.000	
2018.01.22.21	138	1.400	
2018.01.23.00	139	1.100	
2018.01.23.03	140	2.300	
2018.01.23.06	141	2.600	
2018.01.23.09	142	3.000	
2018.01.23.12	143	4.500	
2018.01.23.15	144	3.700	
2018.01.23.18	145	NaN	
2018.01.23.21	146	4.900	
2018.01.24.00	147	4.500	
2018.01.24.03	148	4.400	
2018.01.24.06	149	3.600	
2018.01.24.09	150	4.000	
2018.01.24.12	151	3.000	
2018.01.24.15	152	5.700	
2018.01.24.18	153	4.100	
2018.01.24.21	154	5.000	
2018.01.25.00	155	5.200	
2018.01.25.03	156	5.100	
2018.01.25.06	157	4.600	
2018.03.16.15	158	0.000	
2018.03.16.18	159	-2.000	
2018.03.16.21	160	-3.000	
2018.03.17.00	161	-4.200	
2018.03.17.03	162	-6.700	
2018.03.17.06	163	-7.100	
2018.03.17.09	164	-3.600	
2018.03.17.12	165	0.200	
2018.03.17.15	166	0.700	
2018.03.17.18	167	-1.700	
2018.03.17.21	168	-4.400	
2018.03.18.00	169	-5.600	
2018.03.18.03	170	-6.500	
2018.03.18.06	171	-7.800	
2018.03.18.09	172	-3.300	
2018.03.18.12	173	0.200	
2018.03.18.15	174	3.000	
2018.03.18.18	175	0.700	
2018.03.18.21	176	-0.500	
2018.03.19.00	177	-0.800	
2018.03.19.03	178	0.000	
2018.03.19.06	179	-0.500	
2018.03.19.09	180	0.800	
2018.03.19.12	181	2.800	
2018.03.19.15	182	3.800	
2018.03.19.18	183	2.000	
2018.03.20.00	184	-0.800	
2018.03.20.03	185	-3.100	
2018.03.20.06	186	-3.400	
2018.03.20.09	187	0.000	
2018.03.20.12	188	2.400	
2018.03.20.15	189	3.000	
2018.03.20.18	190	2.500	
2018.03.20.21	191	0.000	
2018.03.21.00	192	-0.100	
2018.03.21.03	193	0.400	
2018.03.21.06	194	0.800	
2018.03.21.09	195	1.800	
2018.03.21.12	196	1.800	
2018.03.21.15	197	-0.500	
2018.03.21.18	198	-0.300	
2018.03.21.21	199	0.600	
2018.03.22.00	200	0.500	
2018.03.22.03	201	0.600	
2018.03.22.06	202	0.200	
2018.03.22.09	203	0.800	
2018.03.22.12	204	1.200	
2018.03.22.15	205	2.600	
2018.03.22.18	206	1.200	
2018.03.22.21	207	0.900	
2018.03.23.00	208	0.500	
2018.03.23.03	209	2.200	
2018.03.23.06	210	4.000	
2018.03.23.09	211	4.500	
2018.03.23.12	212	5.300	
2018.03.23.15	213	6.700	
2018.03.23.18	214	4.200	
2018.03.23.21	215	3.800	
2018.03.24.00	216	3.900	
2018.03.24.03	217	3.300	
2018.03.24.06	218	3.400	
2018.03.24.09	219	4.600	
2018.03.24.12	220	5.200	
2018.03.24.15	221	5.500	
2018.03.24.18	222	5.000	
2018.03.24.21	223	3.800	
2018.03.25.00	224	3.200	
2018.03.25.03	225	2.900	
2018.03.25.06	226	2.600	
2018.03.25.09	227	3.300	
2018.03.25.12	228	4.700	
2018.03.25.15	229	4.500	
2018.03.25.18	230	3.000	
2018.03.25.21	231	2.600	
2018.03.26.00	232	1.500	
2018.03.26.03	233	0.900	
2018.03.26.06	234	0.200	
2018.03.26.09	235	0.000	
2018.03.26.12	236	3.800	
2018.03.26.15	237	5.200	
2018.03.26.18	238	4.000	
2018.03.26.21	239	2.400	
2018.03.27.00	240	-0.300	
2018.03.27.03	241	0.600	
2018.03.27.06	242	0.400	
2018.03.27.09	243	0.000	
2018.03.27.12	244	-0.300	
2018.03.27.15	245	3.100	
2018.03.27.18	246	3.800	
2018.03.27.21	247	0.300	
2018.03.28.00	248	-3.300	
2018.03.28.03	249	-3.600	
2018.03.28.06	250	-5.500	
2018.03.28.09	251	-2.500	
2018.03.28.11	252	1.837	
2018.03.28.14	253	3.400	
2018.03.28.17	254	4.300	
2018.03.28.20	255	0.900	
2018.03.28.23	256	-0.900	
2018.03.29.02	257	-3.900	
2018.03.29.05	258	-4.800	
2018.03.29.08	259	-4.200	
2018.03.29.11	260	1.900	
2018.03.29.14	261	4.000	
2018.03.29.17	262	6.300	
2018.03.29.20	263	1.000	
2018.03.29.23	264	-2.200	
2018.03.30.02	265	-3.900	
2018.03.30.05	266	-5.200	
2018.03.30.08	267	-5.000	
2018.03.30.11	268	2.700	
2018.03.30.14	269	3.300	
2018.03.30.17	270	2.100	
2018.03.30.20	271	0.200	
2018.03.30.23	272	-2.200	
2018.03.31.02	273	-4.200	
2018.03.31.05	274	-5.700	
2018.03.31.08	275	-5.400	
2018.03.31.12	276	3.200	
2018.03.31.15	277	2.900	
2018.03.31.18	278	3.800	
2018.03.31.21	279	0.300	
2018.04.01.00	280	-2.500	
2018.04.01.03	281	-3.800	
2018.04.01.06	282	-5.600	
2018.04.01.09	283	NaN	
2018.04.01.12	284	-0.400	
2018.04.01.15	285	1.900	
2018.04.01.18	286	4.400	
2018.04.01.21	287	-0.400	
2018.04.02.00	288	-1.900	
2018.04.02.03	289	-2.400	
2018.04.03.03	290	-3.200	
2018.04.03.06	291	-3.500	
2018.04.03.09	292	-1.200	
2018.04.03.12	293	2.400	
2018.04.03.15	294	2.100	
2018.04.03.18	295	0.000	
2018.04.03.21	296	0.200	
2018.04.04.00	297	-0.600	
2018.04.04.03	298	0.200	
2018.04.04.06	299	1.000	
2018.04.04.09	300	2.900	
2018.04.04.12	301	3.200	
2018.04.04.15	302	1.600	
2018.04.04.18	303	0.800	
2018.04.04.21	304	0.500	
2018.04.05.00	305	0.600	
2018.04.05.03	306	-0.700	
2018.04.05.06	307	-0.600	
2018.04.05.09	308	0.600	
2018.04.05.12	309	2.000	
2018.04.05.15	310	3.800	
2018.04.05.18	311	4.000	
2018.04.05.21	312	0.900	
2018.04.06.00	313	1.400	
2018.04.06.03	314	-1.900	
2018.04.06.06	315	-1.600	
2018.04.06.09	316	1.100	
2018.04.06.12	317	1.400	
2018.04.06.15	318	5.200	
2018.04.06.18	319	4.400	
2018.04.06.21	320	3.500	
2018.04.07.00	321	4.200	
2018.04.07.03	322	5.700	
2018.04.07.06	323	6.000	
2018.04.07.09	324	4.000	
2018.04.07.12	325	7.400	
2018.04.07.15	326	9.700	
2018.04.07.18	327	9.500	
2018.04.07.21	328	5.400	
2018.04.08.00	329	4.500	
2018.04.08.03	330	3.900	
2018.04.08.06	331	3.500	
2018.04.08.09	332	3.700	
2018.04.08.12	333	4.600	
2018.04.08.15	334	5.200	
2018.04.08.18	335	5.300	
2018.04.08.21	336	5.000	
2018.04.09.00	337	4.400	
2018.04.09.03	338	4.400	
2018.04.09.06	339	4.000	
2018.04.09.09	340	3.800	
2018.04.09.12	341	4.200	
2018.04.09.15	342	5.200	
2018.04.09.18	343	5.600	
2018.04.09.21	344	4.700	
2018.04.10.00	345	4.600	
2018.04.10.03	346	4.100	
2018.04.10.06	347	2.800	
2018.04.10.09	348	1.800	
2018.04.10.12	349	6.700	
2018.04.10.15	350	9.000	
2018.04.10.18	351	9.000	
2018.04.10.21	352	6.600	
2018.04.11.00	353	3.800	
2018.04.11.03	354	1.300	
2018.04.11.06	355	2.700	
2018.04.11.09	356	4.800	
2018.04.11.12	357	9.100	
2018.04.11.15	358	11.700	
2018.04.11.18	359	12.500	
2018.04.11.21	360	7.100	
2018.04.12.00	361	2.800	
2018.04.12.03	362	1.000	
2018.04.12.06	363	-0.500	
2018.04.12.09	364	2.400	
2018.04.12.12	365	10.400	
2018.04.12.15	366	13.500	
2018.04.12.18	367	14.800	
2018.04.12.21	368	10.300	
2018.04.13.00	369	5.600	
2018.04.13.03	370	3.800	
2018.04.13.06	371	3.400	
2018.04.13.09	372	7.900	
2018.04.13.12	373	13.700	
2018.04.13.15	374	14.500	
2018.04.13.18	375	14.800	
2018.04.13.21	376	12.200	
2018.04.14.00	377	8.200	
2018.04.14.03	378	5.800	
2018.04.14.06	379	6.000	
2018.04.14.09	380	7.300	
2018.04.14.12	381	13.300	
2018.04.14.15	382	14.600	
2018.04.14.18	383	13.600	
2018.04.14.21	384	10.500	
2018.04.15.00	385	5.200	
2018.04.15.03	386	3.700	
2018.04.15.06	387	3.100	
2018.04.15.09	388	6.000	
2018.04.15.12	389	13.400	
2018.04.15.15	390	16.200	
2018.04.15.18	391	14.300	
2018.04.15.21	392	9.200	
2018.04.16.00	393	6.400	
2018.04.16.03	394	6.100	
2018.04.16.06	395	4.900	
2018.04.16.09	396	7.000	
2018.04.16.12	397	9.100	
2018.04.16.15	398	9.000	
2018.04.16.18	399	8.700	
2018.04.16.21	400	7.300	
2018.04.17.00	401	6.900	
2018.04.17.03	402	8.100	
2018.04.17.06	403	7.600	
2018.04.17.09	404	9.000	
2018.04.17.12	405	12.100	
2018.04.17.15	406	11.600	
2018.04.18.01	407	6.700	
2018.04.18.04	408	7.300	
2018.04.18.07	409	7.800	
2018.04.18.10	410	9.000	
2018.04.18.13	411	9.700	
2018.04.18.16	412	11.500	
2018.04.18.19	413	11.200	
2018.04.18.22	414	10.800	
2018.04.19.01	415	10.200	
2018.04.19.04	416	11.000	
2018.04.19.07	417	11.600	
2018.04.19.10	418	13.300	
2018.04.19.13	419	15.500	
2018.04.19.16	420	19.200	
2018.04.19.19	421	17.900	
2018.04.19.22	422	10.500	
2018.04.20.01	423	8.000	
2018.04.20.04	424	7.800	
2018.04.20.07	425	7.000	
2018.04.20.10	426	10.300	
2018.04.20.13	427	10.000	
2018.04.20.16	428	7.700	
2018.04.20.19	429	9.200	
2018.04.20.22	430	6.700	
2018.04.21.01	431	6.400	
2018.04.21.04	432	6.200	
2018.04.21.07	433	5.900	
2018.04.21.10	434	7.000	
2018.04.21.13	435	7.700	
2018.04.21.16	436	8.000	
2018.04.22.02	437	3.000	
2018.04.22.05	438	3.000	
2018.04.22.08	439	5.200	
2018.04.22.11	440	10.900	
2018.04.22.14	441	9.000	
2018.04.22.17	442	8.300	
2018.04.22.20	443	8.700	
2018.04.22.23	444	9.000	
2018.04.23.02	445	7.500	
2018.04.23.05	446	6.400	
2018.04.23.08	447	6.100	
2018.04.23.11	448	6.700	
2018.04.23.14	449	6.800	
2018.04.23.17	450	6.100	
2018.04.23.20	451	6.000	
2018.04.23.23	452	5.700	
2018.04.24.02	453	5.600	
2018.04.24.05	454	5.400	
2018.04.24.08	455	5.200	
2018.04.24.11	456	5.600	
2018.04.24.14	457	6.100	
2018.04.24.17	458	6.800	
2018.04.24.20	459	4.600	
2018.04.24.23	460	4.000	
2018.04.25.02	461	3.700	
2018.04.25.05	462	3.700	
2018.04.25.08	463	4.500	
2018.04.25.11	464	5.500	
2018.04.25.14	465	6.600	
2018.04.25.17	466	6.600	
2018.04.25.20	467	6.300	
2018.04.25.23	468	4.700	
2018.04.26.02	469	4.200	
2018.04.26.05	470	4.700	
2018.04.26.08	471	5.500	
2018.04.26.11	472	6.800	
2018.04.26.14	473	7.900	
2018.04.26.17	474	5.200	
2018.04.26.20	475	6.300	
2018.04.26.23	476	4.500	
2018.04.27.02	477	3.900	
2018.04.27.05	478	3.800	
2018.04.27.08	479	4.400	
2018.04.27.11	480	6.000	
2018.04.27.14	481	5.900	
2018.04.27.17	482	6.900	
2018.04.27.20	483	6.700	
2018.04.27.23	484	5.500	
2018.04.28.02	485	3.800	
2018.04.28.05	486	3.400	
2018.04.28.08	487	3.300	
2018.04.28.11	488	4.600	
2018.04.28.14	489	7.000	
2018.04.28.17	490	7.000	
2018.04.28.20	491	8.000	
2018.04.28.23	492	2.600	
2018.04.29.02	493	0.500	
2018.04.29.05	494	-0.900	
2018.04.29.08	495	2.200	
2018.04.29.11	496	5.700	
2018.04.29.14	497	8.400	
2018.04.29.17	498	8.900	
2018.04.30.00	499	4.800	
2018.04.30.03	500	1.600	
2018.04.30.06	501	0.600	
2018.04.30.09	502	6.500	
2018.04.30.12	503	9.400	
2018.04.30.15	504	12.600	
2018.04.30.18	505	14.300	
2018.04.30.21	506	11.000	
2018.05.01.00	507	10.200	
2018.05.01.03	508	9.500	
2018.05.01.06	509	8.800	
2018.05.01.09	510	8.500	
2018.05.01.12	511	8.600	
2018.05.01.15	512	6.400	
2018.05.01.18	513	6.900	
2018.05.01.21	514	5.500	
2018.05.02.00	515	5.200	
2018.05.02.03	516	5.500	
2018.05.02.06	517	6.700	
2018.05.02.09	518	9.100	
2018.05.02.12	519	11.100	
2018.05.02.15	520	10.100	
2018.05.02.18	521	9.800	
2018.05.02.21	522	10.000	
2018.05.03.00	523	9.100	
2018.05.03.03	524	7.400	
2018.05.03.06	525	5.000	
2018.05.03.09	526	4.800	
2018.05.03.12	527	5.300	
2018.05.03.15	528	7.900	
2018.05.03.18	529	9.000	
2018.05.03.21	530	6.400	
2018.05.04.00	531	6.300	
2018.05.04.03	532	6.700	
2018.05.04.06	533	5.100	
2018.05.04.09	534	6.200	
2018.05.04.12	535	7.600	
2018.05.04.15	536	7.200	
2018.05.04.18	537	7.300	
2018.05.04.21	538	7.400	
2018.05.05.00	539	7.400	
2018.05.05.03	540	8.300	
2018.05.05.06	541	8.400	
2018.05.05.09	542	10.500	
2018.05.05.12	543	10.900	
2018.05.05.15	544	12.200	
2018.05.08.02	545	6.800	
2018.05.08.05	546	6.400	
2018.05.08.08	547	14.100	
2018.05.08.11	548	17.500	
2018.05.08.14	549	20.200	
2018.05.08.17	550	21.900	
2018.05.08.20	551	21.400	
2018.05.08.23	552	16.900	
2018.05.09.02	553	17.200	
2018.05.09.05	554	16.900	
2018.05.09.08	555	17.500	
2018.05.09.11	556	20.400	
2018.05.09.14	557	21.800	
2018.05.09.17	558	17.800	
2018.05.09.20	559	13.300	
2018.05.09.23	560	11.000	
2018.05.10.02	561	11.600	
2018.05.10.05	562	11.000	
2018.05.10.08	563	10.300	
2018.05.10.11	564	10.000	
2018.05.10.14	565	10.000	
2018.05.10.17	566	8.700	
2018.05.10.20	567	8.300	
2018.05.10.23	568	7.400	
2018.05.11.02	569	6.600	
2018.05.11.05	570	4.600	
2018.05.11.08	571	6.100	
2018.05.11.11	572	9.900	
2018.05.11.14	573	12.100	
2018.05.11.17	574	14.800	
2018.05.11.23	575	8.900	
2018.05.12.02	576	6.700	
2018.05.12.05	577	7.200	
2018.05.12.08	578	8.100	
2018.05.12.11	579	11.300	
2018.05.12.14	580	14.800	
2018.05.12.17	581	14.300	
2018.05.12.20	582	14.300	
2018.05.12.23	583	8.500	
2018.05.13.02	584	6.400	
2018.05.13.05	585	5.200	
2018.05.13.08	586	9.300	
2018.05.13.11	587	14.800	
2018.05.13.14	588	17.900	
2018.05.13.17	589	20.800	
2018.05.13.20	590	20.900	
2018.05.13.23	591	13.500	
2018.05.14.02	592	10.600	
2018.05.14.05	593	12.900	
2018.05.14.08	594	14.000	
2018.05.14.11	595	16.400	
2018.05.14.14	596	16.200	
2018.05.14.17	597	17.700	
2018.05.14.20	598	18.100	
2018.05.14.23	599	12.000	
2018.05.15.02	600	9.600	
2018.05.15.05	601	8.300	
2018.05.15.08	602	11.600	
2018.05.15.11	603	17.500	
2018.05.15.14	604	21.700	
2018.05.15.17	605	22.100	
2018.05.15.20	606	19.100	
2018.05.15.23	607	11.000	
2018.05.16.02	608	9.600	
2018.05.16.05	609	8.000	
2018.05.16.08	610	7.800	
2018.05.16.11	611	9.300	
2018.05.16.14	612	11.100	
2018.05.16.17	613	10.900	
2018.05.16.20	614	10.300	
2018.05.16.23	615	7.700	
2018.05.17.02	616	6.800	
2018.05.17.05	617	5.900	
2018.05.17.08	618	7.300	
2018.05.17.11	619	9.600	
2018.05.17.14	620	11.100	
2018.05.17.17	621	12.100	
2018.05.17.20	622	11.900	
2018.05.17.23	623	9.000	
2018.05.18.02	624	7.800	
2018.05.18.05	625	6.900	
2018.05.18.08	626	7.600	
2018.05.18.11	627	12.500	
2018.05.18.14	628	15.200	
2018.05.18.17	629	14.300	
2018.05.18.20	630	11.800	
2018.05.18.23	631	9.000	
2018.05.19.02	632	7.500	
2018.05.19.05	633	5.900	
2018.05.19.08	634	8.500	
2018.05.19.11	635	13.600	
2018.05.19.14	636	15.700	
2018.05.19.17	637	15.500	
2018.05.19.20	638	16.500	
2018.05.19.23	639	10.700	
2018.05.20.02	640	9.300	
2018.05.20.05	641	10.000	
2018.05.20.08	642	13.000	
2018.05.20.11	643	14.700	
2018.05.20.14	644	16.300	
2018.05.20.17	645	17.000	
2018.05.20.20	646	17.300	
2018.05.20.23	647	12.400	
2018.05.21.02	648	11.400	
2018.05.21.05	649	11.700	
2018.05.21.08	650	14.900	
2018.05.21.11	651	17.200	
2018.05.21.14	652	17.200	
2018.05.21.17	653	18.100	
2018.05.21.20	654	17.400	
2018.05.21.23	655	13.300	
2018.05.22.02	656	10.100	
2018.05.22.05	657	9.700	
2018.05.22.08	658	10.200	
2018.05.22.11	659	12.800	
2018.05.22.14	660	15.800	
2018.05.22.17	661	17.600	
2018.05.22.20	662	18.100	
2018.05.22.23	663	11.900	
2018.05.23.02	664	8.900	
2018.05.23.05	665	7.700	
2018.05.23.08	666	10.700	
2018.05.23.11	667	12.900	
2018.05.23.14	668	13.400	
2018.05.23.17	669	14.300	
2018.05.23.20	670	13.300	
2018.05.23.23	671	9.000	
2018.05.24.02	672	8.800	
2018.05.24.05	673	8.000	
2018.05.24.08	674	8.100	
2018.05.24.11	675	12.200	
2018.05.24.14	676	17.000	
2018.05.24.17	677	17.500	
2018.05.24.20	678	17.500	
2018.05.24.23	679	11.800	
2018.05.25.02	680	9.000	
2018.05.25.05	681	8.800	
2018.05.25.08	682	12.600	
2018.05.25.11	683	17.600	
2018.05.25.14	684	20.600	
2018.05.25.17	685	21.700	
2018.05.25.20	686	21.100	
2018.05.25.23	687	15.500	
2018.05.26.02	688	12.700	
2018.05.26.05	689	11.600	
2018.05.26.08	690	13.900	
2018.05.26.11	691	17.800	
2018.05.26.14	692	20.900	
2018.05.26.17	693	21.800	
2018.05.26.20	694	20.100	
2018.05.26.23	695	14.900	
2018.05.27.02	696	11.800	
2018.05.27.05	697	10.000	
2018.05.27.08	698	14.600	
2018.05.27.11	699	21.900	
2018.05.27.14	700	26.100	
2018.05.27.17	701	23.300	
2018.05.27.20	702	22.200	
2018.05.27.23	703	18.000	
2018.05.28.02	704	15.600	
2018.05.28.05	705	14.000	
2018.05.28.08	706	16.400	
2018.05.28.11	707	21.800	
2018.05.28.14	708	24.000	
2018.05.28.17	709	22.200	
2018.05.28.20	710	19.600	
2018.05.28.23	711	16.400	
2018.05.29.05	712	12.300	
2018.05.29.08	713	15.500	
2018.05.29.11	714	18.400	
2018.05.29.14	715	22.500	
2018.05.29.17	716	23.300	
2018.05.29.20	717	23.800	
2018.05.29.23	718	17.900	
2018.05.30.02	719	15.500	
2018.05.30.05	720	14.100	
2018.05.30.08	721	17.800	
2018.05.30.11	722	24.300	
2018.05.30.14	723	27.700	
2018.05.30.17	724	27.300	
2018.05.30.20	725	27.400	
2018.05.30.23	726	20.300	
2018.05.31.02	727	18.600	
2018.05.31.05	728	17.900	
2018.05.31.11	729	25.100	
2018.05.31.14	730	25.700	
2018.05.31.17	731	25.500	
2018.05.31.20	732	25.100	
2018.05.31.23	733	19.300	
2018.06.01.02	734	16.500	
2018.06.01.05	735	14.800	
2018.06.01.08	736	18.300	
2018.06.01.11	737	22.100	
2018.06.01.14	738	24.400	
2018.06.01.17	739	24.900	
2018.06.01.23	740	19.100	
2018.06.02.02	741	16.700	
2018.06.02.05	742	15.200	
2018.06.02.08	743	18.100	
2018.06.02.11	744	22.000	
2018.06.02.14	745	23.100	
2018.06.02.17	746	24.000	
2018.06.02.20	747	22.300	
2018.06.02.23	748	18.100	
2018.06.03.02	749	15.600	
2018.06.03.05	750	14.100	
2018.06.03.08	751	17.000	
2018.06.03.11	752	18.400	
2018.06.03.14	753	19.000	
2018.06.03.17	754	20.900	
2018.06.03.20	755	18.300	
2018.06.03.23	756	13.600	
2018.06.04.02	757	12.100	
2018.06.04.05	758	11.100	
2018.06.04.08	759	11.800	
2018.06.04.11	760	14.800	
2018.06.04.14	761	16.200	
2018.06.04.17	762	17.800	
2018.06.04.20	763	16.900	
2018.06.04.23	764	13.300	
2018.06.05.02	765	12.100	
2018.06.05.08	766	13.300	
2018.06.05.11	767	15.900	
2018.06.05.17	768	20.400	
2018.06.05.20	769	17.700	
2018.06.05.23	770	13.900	
2018.06.06.02	771	11.600	
2018.06.06.05	772	10.600	
2018.06.06.08	773	14.000	
2018.06.06.11	774	16.800	
2018.06.06.14	775	17.900	
2018.06.06.17	776	17.300	
2018.06.06.20	777	16.900	
2018.06.06.23	778	14.200	
2018.06.07.02	779	12.000	
2018.06.07.05	780	11.500	
2018.06.07.08	781	14.900	
2018.06.07.11	782	16.900	
2018.06.07.14	783	17.600	
2018.06.07.17	784	19.000	
2018.06.07.20	785	19.900	
2018.06.07.23	786	15.100	
2018.06.08.02	787	13.400	
2018.06.08.05	788	12.300	
2018.06.08.08	789	14.800	
2018.06.08.11	790	16.800	
2018.06.08.14	791	19.400	
2018.06.08.17	792	21.700	
2018.06.08.20	793	23.100	
2018.06.08.23	794	16.800	
2018.06.09.02	795	13.700	
2018.06.09.05	796	11.900	
2018.06.09.08	797	15.700	
2018.06.09.11	798	19.800	
2018.06.09.14	799	19.400	
2018.06.09.17	800	21.500	
2018.06.09.20	801	19.000	
2018.06.09.23	802	13.600	
2018.06.10.02	803	13.400	
2018.06.10.05	804	13.300	
2018.06.10.08	805	13.500	
2018.06.10.11	806	13.900	
2018.06.10.14	807	15.200	
2018.06.10.17	808	14.800	
2018.06.10.20	809	12.500	
2018.06.10.23	810	10.900	
2018.06.11.02	811	9.500	
2018.06.11.05	812	8.900	
2018.06.11.08	813	9.000	
2018.06.11.11	814	10.800	
2018.06.11.14	815	12.500	
2018.06.11.17	816	12.000	
2018.06.11.20	817	11.700	
2018.06.11.23	818	10.700	
2018.06.12.02	819	10.000	
2018.06.12.08	820	9.900	
2018.06.12.15	821	11.800	
2018.06.12.18	822	11.700	
2018.06.13.00	823	8.500	
2018.06.13.03	824	8.000	
2018.06.13.06	825	7.900	
2018.06.13.09	826	10.000	
2018.06.13.12	827	11.700	
2018.06.13.15	828	13.200	
2018.06.13.18	829	11.900	
2018.06.13.21	830	10.900	
2018.06.14.00	831	10.200	
2018.06.14.03	832	10.100	
2018.06.14.06	833	10.200	
2018.06.14.09	834	10.700	
2018.06.14.12	835	11.900	
2018.06.14.15	836	12.700	
2018.06.14.18	837	12.300	
2018.06.14.21	838	10.000	
2018.06.15.00	839	9.500	
2018.06.15.03	840	9.400	
2018.06.15.06	841	8.100	
2018.06.15.09	842	10.500	
2018.06.15.12	843	11.600	
2018.06.15.15	844	12.800	
2018.06.15.18	845	12.200	
2018.06.15.21	846	11.500	
2018.06.16.00	847	10.700	
2018.06.16.03	848	10.600	
2018.06.16.06	849	10.700	
2018.06.16.09	850	11.700	
2018.06.16.12	851	13.900	
2018.06.16.15	852	16.400	
2018.06.16.18	853	17.200	
2018.06.16.21	854	14.100	
2018.06.17.00	855	12.100	
2018.06.17.03	856	10.000	
2018.06.17.06	857	10.000	
2018.06.17.09	858	10.300	
2018.06.17.12	859	14.300	
2018.06.17.15	860	13.500	
2018.06.17.18	861	17.600	
2018.06.17.21	862	16.500	
2018.06.18.00	863	11.700	
2018.06.18.03	864	11.700	
2018.06.18.06	865	11.600	
2018.06.18.09	866	11.000	
2018.06.18.12	867	10.900	
